Source,Target,Type,Id,Label,timeset,Weight,attr_type,matchings_count
grantnumber_c09823961870565d6322563133bb3884,entityid_22fcf17375a33f2ff3f517edc18532c9,Undirected,23107,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_c2591503c257491a68d95f3c684d1a29,Undirected,23108,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_24e3f47b5d6ffdc8907ec89a2291cd0a,Undirected,23109,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_056ddb3744827ebbe7e0dac99f6cc530,Undirected,23110,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_d266267b60779bbdda4dce822a3bd0a3,Undirected,23111,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_fcf69027d35f4ae5ef6121fd783c3d55,Undirected,23112,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_41510b17f9ac7ddd6c9f075964f11eae,Undirected,23113,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_d94ecad6c8bb333c00687063d822251c,Undirected,23114,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_5f00ea2b0badd273c6d5233cbc43125c,Undirected,23115,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_78b06140ba7c624cd5cf9f6c989ff5b6,Undirected,23116,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_333b6c1516fcd193f5e51d57290b4be3,Undirected,23117,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_0eb600b186e1227ced0d0a6920be5422,Undirected,23118,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_bac9112f62bc076a3731af25a9189c1e,Undirected,23119,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_4099f9fdb5d3e9a9cb72a5298f8d2529,Undirected,23120,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_b83418e3dd9b4a1269a55cbbc9487396,Undirected,23121,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_433d1f5d7fedcbec17c784b8a48fd1d8,Undirected,23122,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_b3c08ef0b48d221b5ba23289a084bf7c,Undirected,23123,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_639ab215020f16d62024fa7294c31e1e,Undirected,23124,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_154edd37e9c20a4ea577836b83fd3ec7,Undirected,23125,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_155eaccdebbceefdfd7a613302b6d435,Undirected,23126,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_3c4fc3dd7b2c16ced0660343f45be744,Undirected,23127,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_80e7111f1604c79f2ccfe6db704e3018,Undirected,23128,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_acd751ee14e43f403b8f5593bf38204f,Undirected,23129,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_8dc8454f214956c9aee992f4ba5492bf,Undirected,23130,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_1596214902b052a098edacdf656ddf1e,Undirected,23131,,,1,,1
