date,time,desc,boro,lat,lon
05/31/2016,01:39:00,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,40.670667775,-73.93233809
05/30/2016,21:44:00,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,40.854120099,-73.888809888
05/29/2016,10:16:00,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,40.638614237,-73.948267625
05/29/2016,01:29:00,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,40.852841995,-73.88417431
05/28/2016,06:58:00,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,40.685650525999996,-73.98048752300001
05/27/2016,05:30:00,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,40.887313634,-73.847271758
05/26/2016,21:50:00,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,40.829363293,-73.919045385
05/26/2016,04:10:00,MURDER & NON-NEGL. MANSLAUGHTER,QUEENS,40.605163421,-73.75484779899999
05/25/2016,22:15:00,MURDER & NON-NEGL. MANSLAUGHTER,MANHATTAN,40.734983188,-73.988054214
05/20/2016,07:38:00,MURDER & NON-NEGL. MANSLAUGHTER,STATEN ISLAND,40.638335307,-74.164483967
05/19/2016,19:17:00,MURDER & NON-NEGL. MANSLAUGHTER,QUEENS,40.684069625,-73.75818135
05/19/2016,17:04:00,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,40.859639663,-73.86323458
05/19/2016,03:08:00,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,40.676064661,-74.00240969
05/04/2016,05:56:00,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,40.81493989,-73.886592131
05/18/2016,23:51:00,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,40.655621161999996,-73.919937382
05/18/2016,19:35:00,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,40.642043072,-73.94960900699999
05/17/2016,01:37:00,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,40.844350414000004,-73.815105671
05/14/2016,10:27:00,MURDER & NON-NEGL. MANSLAUGHTER,STATEN ISLAND,40.5580167,-74.130417978
05/14/2016,05:25:00,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,40.654952417,-73.958000222
05/12/2016,22:09:00,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,40.637223031,-73.91262722399999
05/11/2016,22:50:00,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,40.841694933,-73.911108193
05/11/2016,19:02:00,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,40.868587481,-73.88331168100001
